ID,Age,toy_type,value,toy_size,toy_weight
12_05,12,small-light,0,small,light
12_05,12,small-moderate,0,small,moderate
12_05,12,small-heavy,0,small,heavy
12_05,12,medium-light,0,medium,light
12_05,12,medium-moderate,0,medium,moderate
12_05,12,medium-heavy,0,medium,heavy
12_05,12,large-light,0,large,light
12_05,12,large-moderate,0,large,moderate
12_05,12,large-heavy,3,large,heavy
12_11,12,small-light,0,small,light
12_11,12,small-moderate,0,small,moderate
12_11,12,small-heavy,0,small,heavy
12_11,12,medium-light,1,medium,light
12_11,12,medium-moderate,0,medium,moderate
12_11,12,medium-heavy,0,medium,heavy
12_11,12,large-light,0,large,light
12_11,12,large-moderate,0,large,moderate
12_11,12,large-heavy,0,large,heavy
12_12,12,small-light,0,small,light
12_12,12,small-moderate,0,small,moderate
12_12,12,small-heavy,0,small,heavy
12_12,12,medium-light,1,medium,light
12_12,12,medium-moderate,0,medium,moderate
12_12,12,medium-heavy,0,medium,heavy
12_12,12,large-light,0,large,light
12_12,12,large-moderate,0,large,moderate
12_12,12,large-heavy,0,large,heavy
12_13,12,small-light,0,small,light
12_13,12,small-moderate,0,small,moderate
12_13,12,small-heavy,0,small,heavy
12_13,12,medium-light,0,medium,light
12_13,12,medium-moderate,1,medium,moderate
12_13,12,medium-heavy,0,medium,heavy
12_13,12,large-light,0,large,light
12_13,12,large-moderate,1,large,moderate
12_13,12,large-heavy,0,large,heavy
12_17,12,small-light,0,small,light
12_17,12,small-moderate,0,small,moderate
12_17,12,small-heavy,0,small,heavy
12_17,12,medium-light,1,medium,light
12_17,12,medium-moderate,0,medium,moderate
12_17,12,medium-heavy,0,medium,heavy
12_17,12,large-light,0,large,light
12_17,12,large-moderate,0,large,moderate
12_17,12,large-heavy,0,large,heavy
12_18,12,small-light,1,small,light
12_18,12,small-moderate,0,small,moderate
12_18,12,small-heavy,0,small,heavy
12_18,12,medium-light,2,medium,light
12_18,12,medium-moderate,0,medium,moderate
12_18,12,medium-heavy,0,medium,heavy
12_18,12,large-light,0,large,light
12_18,12,large-moderate,2,large,moderate
12_18,12,large-heavy,0,large,heavy
12_21,12,small-light,2,small,light
12_21,12,small-moderate,0,small,moderate
12_21,12,small-heavy,0,small,heavy
12_21,12,medium-light,0,medium,light
12_21,12,medium-moderate,0,medium,moderate
12_21,12,medium-heavy,0,medium,heavy
12_21,12,large-light,0,large,light
12_21,12,large-moderate,0,large,moderate
12_21,12,large-heavy,0,large,heavy
12_22,12,small-light,2,small,light
12_22,12,small-moderate,0,small,moderate
12_22,12,small-heavy,0,small,heavy
12_22,12,medium-light,6,medium,light
12_22,12,medium-moderate,0,medium,moderate
12_22,12,medium-heavy,0,medium,heavy
12_22,12,large-light,0,large,light
12_22,12,large-moderate,4,large,moderate
12_22,12,large-heavy,0,large,heavy
12_25,12,small-light,5,small,light
12_25,12,small-moderate,0,small,moderate
12_25,12,small-heavy,0,small,heavy
12_25,12,medium-light,0,medium,light
12_25,12,medium-moderate,0,medium,moderate
12_25,12,medium-heavy,0,medium,heavy
12_25,12,large-light,0,large,light
12_25,12,large-moderate,2,large,moderate
12_25,12,large-heavy,0,large,heavy
12_29,12,small-light,2,small,light
12_29,12,small-moderate,0,small,moderate
12_29,12,small-heavy,0,small,heavy
12_29,12,medium-light,0,medium,light
12_29,12,medium-moderate,0,medium,moderate
12_29,12,medium-heavy,2,medium,heavy
12_29,12,large-light,0,large,light
12_29,12,large-moderate,2,large,moderate
12_29,12,large-heavy,0,large,heavy
12_31,12,small-light,3,small,light
12_31,12,small-moderate,0,small,moderate
12_31,12,small-heavy,0,small,heavy
12_31,12,medium-light,0,medium,light
12_31,12,medium-moderate,0,medium,moderate
12_31,12,medium-heavy,0,medium,heavy
12_31,12,large-light,0,large,light
12_31,12,large-moderate,0,large,moderate
12_31,12,large-heavy,0,large,heavy
12_32,12,small-light,0,small,light
12_32,12,small-moderate,0,small,moderate
12_32,12,small-heavy,0,small,heavy
12_32,12,medium-light,1,medium,light
12_32,12,medium-moderate,0,medium,moderate
12_32,12,medium-heavy,0,medium,heavy
12_32,12,large-light,0,large,light
12_32,12,large-moderate,0,large,moderate
12_32,12,large-heavy,0,large,heavy
12_34,12,small-light,3,small,light
12_34,12,small-moderate,0,small,moderate
