,Sit_Small Light & Small Light,Sit_Small Light & Small Moderate,Sit_Small Light & Small Heavy,Sit_Small Light & Medium Light,Sit_Small Light & Medium Moderate,Sit_Small Light & Medium Heavy,Sit_Small Light & Large Light,Sit_Small Light & Large Moderate,Sit_Small Light & Large Heavy,Sit_Small Moderate & Small Moderate,Sit_Small Moderate & Small Heavy,Sit_Small Moderate & Medium Light,Sit_Small Moderate & Medium Moderate,Sit_Small Moderate & Medium Heavy,Sit_Small Moderate & Large Light,Sit_Small Moderate & Large Moderate,Sit_Small Moderate & Large Heavy,Sit_Small Heavy & Small Heavy,Sit_Small Heavy & Medium Light,Sit_Small Heavy & Medium Moderate,Sit_Small Heavy & Medium Heavy,Sit_Small Heavy & Large Light,Sit_Small Heavy & Large Moderate,Sit_Small Heavy & Large Heavy,Sit_Medium Light & Medium Light,Sit_Medium Light & Medium Moderate,Sit_Medium Light & Medium Heavy,Sit_Medium Light & Large Light,Sit_Medium Light & Large Moderate,Sit_Medium Light & Large Heavy,Sit_Medium Moderate & Medium Moderate,Sit_Medium Moderate & Medium Heavy,Sit_Medium Moderate & Large Light,Sit_Medium Moderate & Large Moderate,Sit_Medium Moderate & Large Heavy,Sit_Medium Heavy & Medium Heavy,Sit_Medium Heavy & Large Light,Sit_Medium Heavy & Large Moderate,Sit_Medium Heavy & Large Heavy,Sit_Large Light & Large Light,Sit_Large Light & Large Moderate,Sit_Large Light & Large Heavy,Sit_Large Moderate & Large Moderate,Sit_Large Moderate & Large Heavy,Sit_Large Heavy & Large Heavy,Stand_Small Light & Small Light,Stand_Small Light & Small Moderate,Stand_Small Light & Small Heavy,Stand_Small Light & Medium Light,Stand_Small Light & Medium Moderate,Stand_Small Light & Medium Heavy,Stand_Small Light & Large Light,Stand_Small Light & Large Moderate,Stand_Small Light & Large Heavy,Stand_Small Moderate & Small Moderate,Stand_Small Moderate & Small Heavy,Stand_Small Moderate & Medium Light,Stand_Small Moderate & Medium Moderate,Stand_Small Moderate & Medium Heavy,Stand_Small Moderate & Large Light,Stand_Small Moderate & Large Moderate,Stand_Small Moderate & Large Heavy,Stand_Small Heavy & Small Heavy,Stand_Small Heavy & Medium Light,Stand_Small Heavy & Medium Moderate,Stand_Small Heavy & Medium Heavy,Stand_Small Heavy & Large Light,Stand_Small Heavy & Large Moderate,Stand_Small Heavy & Large Heavy,Stand_Medium Light & Medium Light,Stand_Medium Light & Medium Moderate,Stand_Medium Light & Medium Heavy,Stand_Medium Light & Large Light,Stand_Medium Light & Large Moderate,Stand_Medium Light & Large Heavy,Stand_Medium Moderate & Medium Moderate,Stand_Medium Moderate & Medium Heavy,Stand_Medium Moderate & Large Light,Stand_Medium Moderate & Large Moderate,Stand_Medium Moderate & Large Heavy,Stand_Medium Heavy & Medium Heavy,Stand_Medium Heavy & Large Light,Stand_Medium Heavy & Large Moderate,Stand_Medium Heavy & Large Heavy,Stand_Large Light & Large Light,Stand_Large Light & Large Moderate,Stand_Large Light & Large Heavy,Stand_Large Moderate & Large Moderate,Stand_Large Moderate & Large Heavy,Stand_Large Heavy & Large Heavy,Squat_Small Light & Small Light,Squat_Small Light & Small Moderate,Squat_Small Light & Small Heavy,Squat_Small Light & Medium Light,Squat_Small Light & Medium Moderate,Squat_Small Light & Medium Heavy,Squat_Small Light & Large Light,Squat_Small Light & Large Moderate,Squat_Small Light & Large Heavy,Squat_Small Moderate & Small Moderate,Squat_Small Moderate & Small Heavy,Squat_Small Moderate & Medium Light,Squat_Small Moderate & Medium Moderate,Squat_Small Moderate & Medium Heavy,Squat_Small Moderate & Large Light,Squat_Small Moderate & Large Moderate,Squat_Small Moderate & Large Heavy,Squat_Small Heavy & Small Heavy,Squat_Small Heavy & Medium Light,Squat_Small Heavy & Medium Moderate,Squat_Small Heavy & Medium Heavy,Squat_Small Heavy & Large Light,Squat_Small Heavy & Large Moderate,Squat_Small Heavy & Large Heavy,Squat_Medium Light & Medium Light,Squat_Medium Light & Medium Moderate,Squat_Medium Light & Medium Heavy,Squat_Medium Light & Large Light,Squat_Medium Light & Large Moderate,Squat_Medium Light & Large Heavy,Squat_Medium Moderate & Medium Moderate,Squat_Medium Moderate & Medium Heavy,Squat_Medium Moderate & Large Light,Squat_Medium Moderate & Large Moderate,Squat_Medium Moderate & Large Heavy,Squat_Medium Heavy & Medium Heavy,Squat_Medium Heavy & Large Light,Squat_Medium Heavy & Large Moderate,Squat_Medium Heavy & Large Heavy,Squat_Large Light & Large Light,Squat_Large Light & Large Moderate,Squat_Large Light & Large Heavy,Squat_Large Moderate & Large Moderate,Squat_Large Moderate & Large Heavy,Squat_Large Heavy & Large Heavy,Walk_Small Light & Small Light,Walk_Small Light & Small Moderate,Walk_Small Light & Small Heavy,Walk_Small Light & Medium Light,Walk_Small Light & Medium Moderate,Walk_Small Light & Medium Heavy,Walk_Small Light & Large Light,Walk_Small Light & Large Moderate,Walk_Small Light & Large Heavy,Walk_Small Moderate & Small Moderate,Walk_Small Moderate & Small Heavy,Walk_Small Moderate & Medium Light,Walk_Small Moderate & Medium Moderate,Walk_Small Moderate & Medium Heavy,Walk_Small Moderate & Large Light,Walk_Small Moderate & Large Moderate,Walk_Small Moderate & Large Heavy,Walk_Small Heavy & Small Heavy,Walk_Small Heavy & Medium Light,Walk_Small Heavy & Medium Moderate,Walk_Small Heavy & Medium Heavy,Walk_Small Heavy & Large Light,Walk_Small Heavy & Large Moderate,Walk_Small Heavy & Large Heavy,Walk_Medium Light & Medium Light,Walk_Medium Light & Medium Moderate,Walk_Medium Light & Medium Heavy,Walk_Medium Light & Large Light,Walk_Medium Light & Large Moderate,Walk_Medium Light & Large Heavy,Walk_Medium Moderate & Medium Moderate,Walk_Medium Moderate & Medium Heavy,Walk_Medium Moderate & Large Light,Walk_Medium Moderate & Large Moderate,Walk_Medium Moderate & Large Heavy,Walk_Medium Heavy & Medium Heavy,Walk_Medium Heavy & Large Light,Walk_Medium Heavy & Large Moderate,Walk_Medium Heavy & Large Heavy,Walk_Large Light & Large Light,Walk_Large Light & Large Moderate,Walk_Large Light & Large Heavy,Walk_Large Moderate & Large Moderate,Walk_Large Moderate & Large Heavy,Walk_Large Heavy & Large Heavy,,
12_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_34,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_29,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_02,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_06,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_32,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_38,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_37,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_04,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_51,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
