uniqueSubjects,variable,value,Age,Id,Positon,Size,Weight
12_01,stand_small_light,0,12,1,stand,small,light
12_02,stand_small_light,1,12,2,stand,small,light
12_03,stand_small_light,0,12,3,stand,small,light
12_05,stand_small_light,0,12,5,stand,small,light
12_07,stand_small_light,0,12,7,stand,small,light
12_08,stand_small_light,2,12,8,stand,small,light
12_09,stand_small_light,0,12,9,stand,small,light
12_10,stand_small_light,1,12,10,stand,small,light
12_11,stand_small_light,0,12,11,stand,small,light
12_12,stand_small_light,0,12,12,stand,small,light
12_13,stand_small_light,0,12,13,stand,small,light
12_14,stand_small_light,0,12,14,stand,small,light
12_15,stand_small_light,1,12,15,stand,small,light
12_16,stand_small_light,0,12,16,stand,small,light
12_17,stand_small_light,0,12,17,stand,small,light
12_18,stand_small_light,1,12,18,stand,small,light
12_20,stand_small_light,5,12,20,stand,small,light
12_21,stand_small_light,2,12,21,stand,small,light
12_22,stand_small_light,0,12,22,stand,small,light
12_23,stand_small_light,1,12,23,stand,small,light
12_25,stand_small_light,0,12,25,stand,small,light
12_26,stand_small_light,0,12,26,stand,small,light
12_27,stand_small_light,0,12,27,stand,small,light
12_29,stand_small_light,1,12,29,stand,small,light
12_30,stand_small_light,0,12,30,stand,small,light
12_31,stand_small_light,0,12,31,stand,small,light
12_32,stand_small_light,0,12,32,stand,small,light
12_33,stand_small_light,0,12,33,stand,small,light
12_34,stand_small_light,0,12,34,stand,small,light
12_35,stand_small_light,0,12,35,stand,small,light
12_36,stand_small_light,5,12,36,stand,small,light
12_37,stand_small_light,0,12,37,stand,small,light
12_38,stand_small_light,0,12,38,stand,small,light
12_39,stand_small_light,0,12,39,stand,small,light
24_01,stand_small_light,0,24,1,stand,small,light
24_02,stand_small_light,0,24,2,stand,small,light
24_04,stand_small_light,1,24,4,stand,small,light
24_05,stand_small_light,0,24,5,stand,small,light
24_07,stand_small_light,1,24,7,stand,small,light
24_09,stand_small_light,0,24,9,stand,small,light
24_10,stand_small_light,0,24,10,stand,small,light
24_11,stand_small_light,1,24,11,stand,small,light
24_12,stand_small_light,0,24,12,stand,small,light
24_13,stand_small_light,1,24,13,stand,small,light
24_14,stand_small_light,0,24,14,stand,small,light
24_16,stand_small_light,0,24,16,stand,small,light
24_17,stand_small_light,1,24,17,stand,small,light
24_18,stand_small_light,0,24,18,stand,small,light
24_23,stand_small_light,0,24,23,stand,small,light
24_24,stand_small_light,0,24,24,stand,small,light
24_27,stand_small_light,0,24,27,stand,small,light
24_29,stand_small_light,0,24,29,stand,small,light
24_30,stand_small_light,0,24,30,stand,small,light
24_31,stand_small_light,0,24,31,stand,small,light
24_32,stand_small_light,0,24,32,stand,small,light
24_34,stand_small_light,2,24,34,stand,small,light
24_37,stand_small_light,1,24,37,stand,small,light
24_38,stand_small_light,0,24,38,stand,small,light
24_40,stand_small_light,0,24,40,stand,small,light
24_42,stand_small_light,0,24,42,stand,small,light
24_43,stand_small_light,2,24,43,stand,small,light
24_44,stand_small_light,0,24,44,stand,small,light
24_45,stand_small_light,0,24,45,stand,small,light
24_46,stand_small_light,0,24,46,stand,small,light
24_51,stand_small_light,1,24,51,stand,small,light
12_01,stand_small_moderate,0,12,1,stand,small,moderate
12_02,stand_small_moderate,0,12,2,stand,small,moderate
12_03,stand_small_moderate,0,12,3,stand,small,moderate
12_05,stand_small_moderate,0,12,5,stand,small,moderate
