Unnamed: 0,variable,value,Age,Id,Positon,Toys,Toy_1,Toy_2,Toy_1_Size,Toy_1_Weight,Toy_2_Size,Toy_2_Weight
12_22,Sit_Small Light & Small Light,0.0,12,22,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
12_34,Sit_Small Light & Small Light,0.0,12,34,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_29,Sit_Small Light & Small Light,0.0,24,29,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
12_18,Sit_Small Light & Small Light,0.0,12,18,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
12_02,Sit_Small Light & Small Light,0.0,12,02,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_06,Sit_Small Light & Small Light,0.0,24,06,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_32,Sit_Small Light & Small Light,0.0,24,32,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
12_09,Sit_Small Light & Small Light,0.0,12,09,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_08,Sit_Small Light & Small Light,0.0,24,08,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_38,Sit_Small Light & Small Light,0.0,24,38,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_37,Sit_Small Light & Small Light,0.0,24,37,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_04,Sit_Small Light & Small Light,0.0,24,04,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_51,Sit_Small Light & Small Light,0.0,24,51,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_18,Sit_Small Light & Small Light,0.0,24,18,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_28,Sit_Small Light & Small Light,0.0,24,28,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_22,Sit_Small Light & Small Light,0.0,24,22,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_03,Sit_Small Light & Small Light,0.0,24,03,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
24_43,Sit_Small Light & Small Light,0.0,24,43,Sit,Small Light & Small Light,Small Light,Small Light,Small,Light,Small,Light
