ID,Age,small-light,small-mod,small-heavy,med-light,med-mod,med-heavy,large-light,large-mod,large-heavy
5,12,3,0,0,0,0,0,0,0,1
11,12,0,0,0,1,0,0,0,0,0
12,12,0,0,1,0,0,0,0,0,0
13,12,0,0,0,0,0,0,0,1,0
17,12,0,1,0,0,0,0,0,0,0
18,12,0,0,0,1,0,0,0,0,0
19,12,0,0,0,0,0,0,0,0,1
21,12,1,0,0,0,0,0,1,0,0
22,12,1,0,0,1,0,0,0,0,0
24,12,1,0,0,0,0,0,0,0,0
25,12,1,0,0,0,0,0,0,1,0
29,12,0,0,0,0,0,2,0,0,0
30,12,0,0,0,0,0,0,0,0,1
31,12,1,0,0,0,0,0,0,0,0
32,12,0,0,0,0,0,0,0,1,1
34,12,0,0,1,0,0,0,0,0,0
2,24,0,0,0,0,0,0,0,1,1
3,24,1,0,0,0,0,0,0,0,0
9,24,0,0,0,2,0,0,1,0,0
10,24,0,0,0,5,0,0,0,0,0
11,24,4,0,0,0,0,0,0,0,0
12,24,0,0,0,0,0,0,0,0,2
13,24,2,0,0,0,0,0,0,0,0
15,24,0,1,0,1,0,0,0,0,1
16,24,0,0,0,0,0,0,0,0,1
24,24,0,0,0,1,0,0,0,0,1
30,24,1,0,0,1,0,0,0,0,2
31,24,0,0,0,3,0,0,0,0,0
32,24,0,2,0,0,3,0,0,1,0
34,24,1,1,0,2,0,0,0,0,0
37,24,2,0,0,3,0,0,1,0,0
38,24,1,0,0,0,0,0,1,0,0
40,24,0,0,0,2,0,0,0,0,1
42,24,0,0,0,1,0,0,0,0,0
43,24,0,0,0,0,0,0,1,1,0
45,24,0,0,0,0,0,0,0,1,0
