ID,Age,toy_type,value,toy_size,toy_weight
5,12,small-light,3,small,light
11,12,small-light,0,small,light
12,12,small-light,0,small,light
13,12,small-light,0,small,light
17,12,small-light,0,small,light
18,12,small-light,0,small,light
19,12,small-light,0,small,light
21,12,small-light,1,small,light
22,12,small-light,1,small,light
24,12,small-light,1,small,light
25,12,small-light,1,small,light
29,12,small-light,0,small,light
30,12,small-light,0,small,light
31,12,small-light,1,small,light
32,12,small-light,0,small,light
34,12,small-light,0,small,light
2,24,small-light,0,small,light
3,24,small-light,1,small,light
9,24,small-light,0,small,light
10,24,small-light,0,small,light
11,24,small-light,4,small,light
12,24,small-light,0,small,light
13,24,small-light,2,small,light
15,24,small-light,0,small,light
16,24,small-light,0,small,light
24,24,small-light,0,small,light
30,24,small-light,1,small,light
31,24,small-light,0,small,light
32,24,small-light,0,small,light
34,24,small-light,1,small,light
37,24,small-light,2,small,light
38,24,small-light,1,small,light
40,24,small-light,0,small,light
42,24,small-light,0,small,light
43,24,small-light,0,small,light
45,24,small-light,0,small,light
5,12,small-mod,0,small,mod
11,12,small-mod,0,small,mod
12,12,small-mod,0,small,mod
13,12,small-mod,0,small,mod
17,12,small-mod,1,small,mod
18,12,small-mod,0,small,mod
19,12,small-mod,0,small,mod
21,12,small-mod,0,small,mod
22,12,small-mod,0,small,mod
24,12,small-mod,0,small,mod
25,12,small-mod,0,small,mod
29,12,small-mod,0,small,mod
30,12,small-mod,0,small,mod
31,12,small-mod,0,small,mod
32,12,small-mod,0,small,mod
34,12,small-mod,0,small,mod
2,24,small-mod,0,small,mod
3,24,small-mod,0,small,mod
9,24,small-mod,0,small,mod
10,24,small-mod,0,small,mod
11,24,small-mod,0,small,mod
12,24,small-mod,0,small,mod
13,24,small-mod,0,small,mod
15,24,small-mod,1,small,mod
16,24,small-mod,0,small,mod
24,24,small-mod,0,small,mod
30,24,small-mod,0,small,mod
31,24,small-mod,0,small,mod
32,24,small-mod,2,small,mod
34,24,small-mod,1,small,mod
37,24,small-mod,0,small,mod
38,24,small-mod,0,small,mod
40,24,small-mod,0,small,mod
42,24,small-mod,0,small,mod
43,24,small-mod,0,small,mod
45,24,small-mod,0,small,mod
5,12,small-heavy,0,small,heavy
11,12,small-heavy,0,small,heavy
12,12,small-heavy,1,small,heavy
13,12,small-heavy,0,small,heavy
17,12,small-heavy,0,small,heavy
18,12,small-heavy,0,small,heavy
19,12,small-heavy,0,small,heavy
21,12,small-heavy,0,small,heavy
22,12,small-heavy,0,small,heavy
24,12,small-heavy,0,small,heavy
25,12,small-heavy,0,small,heavy
29,12,small-heavy,0,small,heavy
30,12,small-heavy,0,small,heavy
31,12,small-heavy,0,small,heavy
32,12,small-heavy,0,small,heavy
34,12,small-heavy,1,small,heavy
2,24,small-heavy,0,small,heavy
3,24,small-heavy,0,small,heavy
9,24,small-heavy,0,small,heavy
10,24,small-heavy,0,small,heavy
11,24,small-heavy,0,small,heavy
12,24,small-heavy,0,small,heavy
13,24,small-heavy,0,small,heavy
