,ID,Age,toy_type,value
0,5,12,small-light,3
1,11,12,small-light,0
2,12,12,small-light,0
3,13,12,small-light,0
4,17,12,small-light,0
5,18,12,small-light,0
6,19,12,small-light,0
7,21,12,small-light,1
8,22,12,small-light,1
9,24,12,small-light,1
10,25,12,small-light,1
11,29,12,small-light,0
12,30,12,small-light,0
13,31,12,small-light,1
14,32,12,small-light,0
15,34,12,small-light,0
16,2,24,small-light,0
17,3,24,small-light,1
18,9,24,small-light,0
19,10,24,small-light,0
20,11,24,small-light,4
21,12,24,small-light,0
22,13,24,small-light,2
23,15,24,small-light,0
24,16,24,small-light,0
25,24,24,small-light,0
26,30,24,small-light,1
27,31,24,small-light,0
28,32,24,small-light,0
29,34,24,small-light,1
30,37,24,small-light,2
31,38,24,small-light,1
32,40,24,small-light,0
33,42,24,small-light,0
34,43,24,small-light,0
35,45,24,small-light,0
36,5,12,small-mod,0
37,11,12,small-mod,0
38,12,12,small-mod,0
39,13,12,small-mod,0
40,17,12,small-mod,1
41,18,12,small-mod,0
42,19,12,small-mod,0
43,21,12,small-mod,0
44,22,12,small-mod,0
45,24,12,small-mod,0
46,25,12,small-mod,0
47,29,12,small-mod,0
48,30,12,small-mod,0
49,31,12,small-mod,0
50,32,12,small-mod,0
51,34,12,small-mod,0
52,2,24,small-mod,0
53,3,24,small-mod,0
54,9,24,small-mod,0
55,10,24,small-mod,0
56,11,24,small-mod,0
57,12,24,small-mod,0
58,13,24,small-mod,0
59,15,24,small-mod,1
60,16,24,small-mod,0
61,24,24,small-mod,0
62,30,24,small-mod,0
63,31,24,small-mod,0
64,32,24,small-mod,2
65,34,24,small-mod,1
66,37,24,small-mod,0
67,38,24,small-mod,0
68,40,24,small-mod,0
69,42,24,small-mod,0
70,43,24,small-mod,0
71,45,24,small-mod,0
72,5,12,small-heavy,0
73,11,12,small-heavy,0
74,12,12,small-heavy,1
75,13,12,small-heavy,0
76,17,12,small-heavy,0
77,18,12,small-heavy,0
78,19,12,small-heavy,0
79,21,12,small-heavy,0
80,22,12,small-heavy,0
81,24,12,small-heavy,0
82,25,12,small-heavy,0
83,29,12,small-heavy,0
84,30,12,small-heavy,0
85,31,12,small-heavy,0
86,32,12,small-heavy,0
87,34,12,small-heavy,1
88,2,24,small-heavy,0
89,3,24,small-heavy,0
90,9,24,small-heavy,0
91,10,24,small-heavy,0
92,11,24,small-heavy,0
93,12,24,small-heavy,0
94,13,24,small-heavy,0
95,15,24,small-heavy,0
96,16,24,small-heavy,0
97,24,24,small-heavy,0
98,30,24,small-heavy,0
99,31,24,small-heavy,0
100,32,24,small-heavy,0
101,34,24,small-heavy,0
102,37,24,small-heavy,0
103,38,24,small-heavy,0
104,40,24,small-heavy,0
105,42,24,small-heavy,0
106,43,24,small-heavy,0
107,45,24,small-heavy,0
108,5,12,med-light,0
109,11,12,med-light,1
110,12,12,med-light,0
111,13,12,med-light,0
112,17,12,med-light,0
113,18,12,med-light,1
114,19,12,med-light,0
115,21,12,med-light,0
116,22,12,med-light,1
117,24,12,med-light,0
118,25,12,med-light,0
119,29,12,med-light,0
120,30,12,med-light,0
121,31,12,med-light,0
122,32,12,med-light,0
123,34,12,med-light,0
124,2,24,med-light,0
125,3,24,med-light,0
126,9,24,med-light,2
127,10,24,med-light,5
128,11,24,med-light,0
129,12,24,med-light,0
130,13,24,med-light,0
131,15,24,med-light,1
132,16,24,med-light,0
133,24,24,med-light,1
134,30,24,med-light,1
135,31,24,med-light,3
136,32,24,med-light,0
137,34,24,med-light,2
138,37,24,med-light,3
139,38,24,med-light,0
140,40,24,med-light,2
141,42,24,med-light,1
142,43,24,med-light,0
143,45,24,med-light,0
144,5,12,med-mod,0
145,11,12,med-mod,0
146,12,12,med-mod,0
147,13,12,med-mod,0
148,17,12,med-mod,0
149,18,12,med-mod,0
150,19,12,med-mod,0
151,21,12,med-mod,0
152,22,12,med-mod,0
153,24,12,med-mod,0
154,25,12,med-mod,0
155,29,12,med-mod,0
156,30,12,med-mod,0
157,31,12,med-mod,0
158,32,12,med-mod,0
159,34,12,med-mod,0
160,2,24,med-mod,0
161,3,24,med-mod,0
162,9,24,med-mod,0
163,10,24,med-mod,0
164,11,24,med-mod,0
