TRT,YR,ST,REP,Total Available Nitrogen (TAN),Available Inorganic Nitrogen (AIN),Mineralized Organic Nitrogen (biological N),Total Available Nitrogen (WEN),Water Extractable Organic Nitrogen (WEON),Total Inorganic Nitrogen (TIN),NO3-N,NH4-N, $ of Nitrogen Saved ,Total Available P as P2O5,Total Available Phosphorus as P,Available Inorganic P as P2O5 ,Available Inorganic P,Mineralized Organic P as P2O5,Mineralized Organic P as P,Available Potassium as K2O,Available Potassium as K, NPK Value as $/a ,One day respiration (Solvita CO2-C),Water Extractable Organic Carbon (WEOC),Organic C:N ratio,Organic N:P ratio,% Microbially Active Carbon,Soil Health Calculation,Aluminum,Iron,Calcium,Magnesium,Sodium,Sulfur as S,Boron,Manganese,Copper,Zinc,Calcium + Magnesium / Aluminum,% P Saturation Iron + Aluminum,% P Saturation Calcium,Ca:Mg,Plant Effective CEC (PECEC),Ca Need,Ca,Mg
1,1,1,1,62.8,41,21.8,31.4,10.9,20.5,15.8,4.7,11.78,80.8,17.6,71.9,15.7,8.9,1.9,129.6,53.8,153,38.9,138.8,12.7,4.7,28,7.8,18,9,369,57,10,4,0.2,1,0.2,0.43,23.67,58.1,4.3,6.47,2.57,-39.5,71.8,11.1
1,1,1,2,82.4,31,51.4,41.2,25.7,15.5,11.8,3.7,27.77,42.8,9.3,32.1,7,10.7,2.3,108,44.8,128.06,39.4,151.3,5.9,8.6,26,9.5,25,9,368,59,10,4,0.21,1,0.24,0.41,17.08,20.6,1.9,6.24,2.58,-33.6,71.3,11.4
1,1,1,3,81,49.8,31.2,40.5,15.6,24.9,20.4,4.5,16.86,53,11.6,42.1,9.2,10.9,2.4,117.6,48.8,138.81,43.1,152.8,9.8,5.6,28.2,8.9,27,11,440,76,10,4,0.25,1,0.23,0.4,19.11,24.2,2.1,5.79,3.1,-36.4,70.9,12.3
2,1,1,1,87,28.4,58.6,49.8,35.6,14.2,10.3,3.9,31.64,34.2,7.5,30.2,6.6,4,0.9,105.6,43.8,123.77,44.1,214.4,6,25.4,20.6,12.3,29,11,353,62,10,3,0.21,1,0.2,0.4,14.31,16.5,1.9,5.69,2.54,-14,69.4,12.2
2,1,1,2,55.9,34.4,21.5,30.4,13.2,17.2,12.7,4.5,11.63,54.4,11.9,46.3,10.1,8.1,1.8,100.8,41.8,117.43,33.2,162.9,12.3,4.6,20.4,7.9,28,10,438,70,9,4,0.25,1,0.2,0.4,18.14,26.6,2.3,6.26,3.02,-53.8,72.4,11.6
2,1,1,3,74,41.4,32.6,37,16.3,20.7,17.2,3.5,17.61,39.9,8.7,33.9,7.4,6,1.3,112.8,46.8,124.15,39.9,146.6,9,10.2,27.2,8.6,32,10,474,90,10,4,0.26,1,0.2,0.4,17.63,17.6,1.6,5.27,3.4,-22.8,69.7,13.2
3,1,1,1,82.4,54,28.4,41.2,14.2,27,22,5,15.35,130.6,28.5,116.3,25.4,14.3,3.1,172.8,71.7,217.96,41.3,143,10.1,3.9,28.9,8.4,38,13,616,97,11,6,0.29,1,0.25,0.44,18.76,49.8,4.1,6.35,4.26,-73.3,72.3,11.4
3,1,1,2,70,37.6,32.4,35,16.2,18.8,15.7,3.1,17.51,27.4,6,27,5.9,0.4,0.1,103.2,42.8,108.99,40.2,157,9.7,162.1,25.6,8.8,26,9,375,64,11,3,0.2,1,0.22,0.4,16.88,16.9,1.6,5.86,2.66,-26,70.4,12
3,1,1,3,75.8,58.2,17.6,37.9,8.8,29.1,24.7,4.4,9.51,63.7,13.9,57.7,12.6,6,1.3,122.4,50.8,145.33,43.9,141.9,16.1,6.3,30.9,8.1,24,12,464,74,11,4,0.27,1,0.2,0.55,22.42,35,2.7,6.27,3.2,-56.7,72.4,11.6
4,1,1,1,108,50.8,57.2,54,28.6,25.4,22.1,3.3,30.9,73.3,16,71,15.5,2.3,0.5,136.8,56.8,176.37,55.8,146.7,5.1,57.2,38,11.4,28,14,436,74,11,4,0.27,1,0.2,0.45,18.21,36.9,3.6,5.89,3.09,-30.6,70.5,12
4,1,1,2,87.4,45,42.4,43.7,21.2,22.5,17.6,4.9,22.91,44.8,9.8,36.6,8,8.1,1.8,132,54.8,144.51,46.5,156.9,7.4,10.6,29.6,9.9,29,12,389,69,11,4,0.21,1,0.25,0.4,15.79,19.5,2.1,5.64,2.82,-12.3,69.1,12.3
4,1,1,3,78.8,46.2,32.6,39.4,16.3,23.1,19.7,3.4,17.61,50.3,11,46.3,10.1,4,0.9,112.8,46.8,133.38,47.3,146.5,9,18.1,32.3,9.3,27,11,398,63,11,4,0.2,1,0.22,0.41,17.07,26.6,2.5,6.32,2.78,-39.2,71.5,11.3
