"Participant","Side","Task","Response"
"1","1","1",20.61829479
"2","1","1",26.18046225
"3","1","1",27.70160177
"4","1","1",9.727107916
"5","1","1",6.290642282
"6","1","1",13.6603881
"7","1","1",11.33925712
"8","1","1",17.09061527
"9","1","1",8.082252559
"10","1","1",32.83328359
"11","1","1",22.52782706
"13","1","1",16.50523319
"14","1","1",34.23578919
"15","1","1",21.02427265
"1","1","2",19.38380399
"2","1","2",30.71647071
"3","1","2",23.92523525
"4","1","2",11.91434819
"5","1","2",6.971329339
"6","1","2",10.81023051
"7","1","2",16.22159671
"8","1","2",28.29622941
"9","1","2",12.3947859
"10","1","2",35.5118116
"11","1","2",15.56260468
"13","1","2",27.2649568
"14","1","2",36.83331254
"15","1","2",25.46375645
"1","1","3",23.51291824
"2","1","3",19.22285853
"3","1","3",45.82693532
"4","1","3",17.41042228
"5","1","3",10.47519338
"6","1","3",12.29430322
"7","1","3",15.47426697
"8","1","3",32.7247806
"9","1","3",21.97344372
"10","1","3",48.54494742
"11","1","3",17.3920763
"13","1","3",21.16119657
"14","1","3",52.287569
"15","1","3",18.94384423
"1","1","4",12.32425057
"2","1","4",18.9761769
"3","1","4",22.90927222
"4","1","4",20.97015067
"5","1","4",9.823049975
"6","1","4",11.46848032
"7","1","4",12.09701076
"8","1","4",18.2488353
"9","1","4",7.973310808
"10","1","4",30.00731319
"11","1","4",17.02040862
"13","1","4",8.843447537
"14","1","4",43.74896809
"15","1","4",19.5216141
"1","2","1",28.59432712
"2","2","1",29.24602393
"3","2","1",26.65252961
"4","2","1",10.38342284
"5","2","1",14.26464425
"6","2","1",10.54298834
"7","2","1",7.452528565
"8","2","1",18.76900748
"9","2","1",7.57687433
"10","2","1",40.9720064
"11","2","1",19.24869123
"13","2","1",17.28388382
"14","2","1",36.78341865
"15","2","1",16.69838414
"1","2","2",28.68740085
"2","2","2",29.90618644
"3","2","2",22.93547658
"4","2","2",13.31799886
"5","2","2",11.26457088
"6","2","2",9.605264276
"7","2","2",12.61118187
"8","2","2",23.06943798
"9","2","2",11.00996554
"10","2","2",39.65322518
"11","2","2",16.4530196
"13","2","2",26.43773125
"14","2","2",40.54566518
"15","2","2",22.5370447
"1","2","3",27.98171931
"2","2","3",23.37437183
"3","2","3",39.40934118
"4","2","3",19.25703448
"5","2","3",17.02868888
"6","2","3",8.168765876
"7","2","3",14.54985982
"8","2","3",25.02970378
"9","2","3",18.68057099
"10","2","3",56.63857897
"11","2","3",19.31616739
"13","2","3",20.54818128
"14","2","3",52.77923697
"15","2","3",17.60790401
"1","2","4",20.06662491
"2","2","4",23.17840848
"3","2","4",21.87633069
"4","2","4",18.48686237
"5","2","4",17.67269091
"6","2","4",7.366052956
"7","2","4",8.634324076
"8","2","4",11.97974889
"9","2","4",6.207014231
"10","2","4",46.63323178
"11","2","4",17.59316956
"13","2","4",8.987634713
"14","2","4",38.18092644
"15","2","4",19.69999335
