"Participant","Side","Task","Response"
"1","1","1",21.99695963
"2","1","1",37.93119967
"3","1","1",34.59750806
"4","1","1",10.36640389
"5","1","1",4.922942298
"6","1","1",19.07465049
"7","1","1",20.68833094
"8","1","1",23.20969443
"9","1","1",6.433329693
"10","1","1",30.61535296
"11","1","1",26.67935837
"13","1","1",25.38248461
"14","1","1",49.51036302
"15","1","1",31.97019868
"1","1","2",15.66977979
"2","1","2",31.51909788
"3","1","2",35.52822108
"4","1","2",15.71715477
"5","1","2",9.530396325
"6","1","2",18.36638963
"7","1","2",31.64658052
"8","1","2",46.62974429
"9","1","2",10.37704683
"10","1","2",31.1519681
"11","1","2",40.35705859
"13","1","2",43.20701552
"14","1","2",67.40170896
"15","1","2",31.04357909
"1","1","3",26.31697041
"2","1","3",29.12470135
"3","1","3",64.84677286
"4","1","3",47.90565998
"5","1","3",12.50617176
"6","1","3",22.69247842
"7","1","3",35.03298066
"8","1","3",74.05231205
"9","1","3",22.64315109
"10","1","3",42.40144835
"11","1","3",21.53705084
"13","1","3",32.13706941
"14","1","3",73.96207061
"15","1","3",39.11245153
"1","1","4",227.4424218
"2","1","4",40.77522613
"3","1","4",84.71966858
"4","1","4",56.51620634
"5","1","4",26.87449631
"6","1","4",50.49977818
"7","1","4",109.2146482
"8","1","4",334.9547384
"9","1","4",8.90436066
"10","1","4",71.11253006
"11","1","4",46.86240456
"13","1","4",54.18079335
"14","1","4",72.00974262
"15","1","4",73.82915654
"1","2","1",23.26682148
"2","2","1",42.3726962
"3","2","1",36.95674929
"4","2","1",11.02769577
"5","2","1",11.05618549
"6","2","1",15.54744936
"7","2","1",13.17304312
"8","2","1",21.33712394
"9","2","1",4.912798992
"10","2","1",38.14217375
"11","2","1",28.1958597
"13","2","1",25.78334562
"14","2","1",51.43553032
"15","2","1",25.02728153
"1","2","2",20.12783427
"2","2","2",30.25542043
"3","2","2",34.05846062
"4","2","2",17.56882088
"5","2","2",14.52918849
"6","2","2",11.24495463
"7","2","2",26.09016269
"8","2","2",39.21303622
"9","2","2",8.572803555
"10","2","2",35.73452223
"11","2","2",43.68735815
"13","2","2",39.62673166
"14","2","2",71.45709184
"15","2","2",29.24815844
"1","2","3",33.44200382
"2","2","3",35.17540275
"3","2","3",61.65046156
"4","2","3",53.09920544
"5","2","3",19.57263842
"6","2","3",16.91371631
"7","2","3",33.08940227
"8","2","3",57.02858253
"9","2","3",19.1707003
"10","2","3",49.25664882
"11","2","3",24.89992739
"13","2","3",32.69856128
"14","2","3",77.84062093
"15","2","3",37.3928909
"1","2","4",371.3224235
"2","2","4",50.02325013
"3","2","4",82.78667337
"4","2","4",49.77554937
"5","2","4",41.20254639
"6","2","4",29.07161966
"7","2","4",78.62289582
"8","2","4",219.5180628
"9","2","4",5.80299778
"10","2","4",110.8218696
"11","2","4",49.5477524
"13","2","4",55.15415326
"14","2","4",74.28418369
"15","2","4",72.95430051
