"Participant","Side","Task","Response"
"1","1","1",0.740130553
"2","1","1",0.625978664
"3","1","1",0.671233362
"4","1","1",0.937878106
"5","1","1",0.36682335
"6","1","1",0.850065194
"7","1","1",0.901476078
"8","1","1",0.621871578
"9","1","1",0.550712121
"10","1","1",0.597755478
"11","1","1",0.904789043
"13","1","1",0.782272317
"14","1","1",0.873379905
"15","1","1",0.843917044
"1","1","2",0.72221532
"2","1","2",0.426532648
"3","1","2",1.131795912
"4","1","2",1.07098233
"5","1","2",0.962726333
"6","1","2",1.237538925
"7","1","2",1.245982755
"8","1","2",0.881359665
"9","1","2",0.97065178
"10","1","2",0.645420393
"11","1","2",2.011796463
"13","1","2",1.758373862
"14","1","2",1.495379197
"15","1","2",0.953613653
"1","1","3",0.998407957
"2","1","3",0.969662744
"3","1","3",1.393053389
"4","1","3",2.373048855
"5","1","3",0.923327767
"6","1","3",1.605419677
"7","1","3",1.275696711
"8","1","3",1.291025808
"9","1","3",0.807968145
"10","1","3",1.054932083
"11","1","3",1.169002493
"13","1","3",1.233969068
"14","1","3",1.339181859
"15","1","3",1.497383056
"1","1","4",0.930696792
"2","1","4",2.076089797
"3","1","4",1.298591857
"4","1","4",1.903703688
"5","1","4",1.3412203
"6","1","4",1.331598546
"7","1","4",1.94913737
"8","1","4",1.129901859
"9","1","4",1.445031609
"10","1","4",2.373425935
"11","1","4",2.398265991
"13","1","4",1.762626548
"14","1","4",1.548472552
"15","1","4",1.303036305
"1","2","1",0.704396904
"2","2","1",0.571011844
"3","2","1",0.885223528
"4","2","1",0.867385456
"5","2","1",0.359832184
"6","2","1",0.777561751
"7","2","1",0.824051927
"8","2","1",0.667390397
"9","2","1",0.412256895
"10","2","1",0.433258511
"11","2","1",1.034243477
"13","2","1",0.732318405
"14","2","1",0.878939603
"15","2","1",0.809438892
"1","2","2",0.801291583
"2","2","2",0.555532648
"3","2","2",4.208738607
"4","2","2",1.31600202
"5","2","2",0.926860992
"6","2","2",1.085221276
"7","2","2",1.232478637
"8","2","2",0.834328208
"9","2","2",0.907682788
"10","2","2",0.654416612
"11","2","2",2.088244289
"13","2","2",1.690400273
"14","2","2",1.5408973
"15","2","2",1.044107099
"1","2","3",0.949439575
"2","2","3",0.972662744
"3","2","3",1.435074721
"4","2","3",2.210048855
"5","2","3",0.949812936
"6","2","3",1.417393066
"7","2","3",1.334690189
"8","2","3",1.246530993
"9","2","3",0.816968145
"10","2","3",0.775947208
"11","2","3",1.28001643
"13","2","3",1.107495479
"14","2","3",1.607659929
"15","2","3",1.59534373
"1","2","4",0.946680256
"2","2","4",1.557080373
"3","2","4",2.451581076
"4","2","4",1.354581885
"5","2","4",1.332040779
"6","2","4",1.34679103
"7","2","4",2.017473263
"8","2","4",1.192704391
"9","2","4",0.798742278
"10","2","4",1.000456145
"11","2","4",2.564126874
"13","2","4",1.625569094
"14","2","4",1.344807365
"15","2","4",1.252376827
