age,sex,ethnicity ,education,Learn health information from,pre Mini-EAT ,pre CV quiz score
21,F,Not Hispanic,College,Family and Friends ,65,10
21,F,Not Hispanic,College,Social Media,65,5
25,M,Not Hispanic,Grad school or higher ,Google/BING/or Other servers,69,7
29,F,Not Hispanic,Grad school or higher,Social Media,67,6
22,M,Not Hispanic,Grad school or higher,"Health Website: AHA, MedMD, etc",57,10
30,F,Not Hispanic,College,Social Media,63,5
29,M,Not Hispanic,Grad school or higher,Social Media,61,7
32,M,Not Hispanic,Grad school or higher,Social Media,59,5
20,M,Hispanic or Latino,High School,"Health Website: AHA, MedMD, etc",58,8
20,F,Not Hispanic,College,Google/BING/or Other servers,56,7
23,M,Not Hispanic,College,"Health Website: AHA, MedMD, etc",54,9
21,F,Not Hispanic,College,"Health Website: AHA, MedMD, etc",74,10
22,M,Not Hispanic,College,"Health Website: AHA, MedMD, etc",55,8
22,F,Not Hispanic,College,Other: school ,48,7
30,F,Not Hispanic,Grad school or higher,Social Media,61,7
20,F,Not Hispanic,College,"Health Website: AHA, MedMD, etc",76,8
30,F,Not Hispanic,Grad school or higher,Google/BING/or Other servers,54,9
20,F,Not Hispanic,College,Social Media,69,8
22,M,Not Hispanic,Grad school or higher,Google/BING/or Other servers,69,7
22,M,Not Hispanic,Grad school or higher,Family and Friends ,61,6
20,F,Not Hispanic,College,Social Media,51,8
21,F,Not Hispanic,College,Social Media,56,8
20,M,Not Hispanic,College,Social Media,61,6
20,M,Not Hispanic,High School,Social Media,59,9
20,F,Not Hispanic,College,Family and Friends ,51,5
23,F,Not Hispanic,College,"Health Website: AHA, MedMD, etc",65,6
20,F,Not Hispanic,High School,"Health Website: AHA, MedMD, etc",65,8
26,M,Not Hispanic,Grad school or higher,Family and Friends ,68,8
30,M,Not Hispanic,Grad school or higher,Google/BING/or Other servers,64,10
23,M,Not Hispanic,Grad school or higher,Social Media,69,8
25,M,Not Hispanic,Grad school or higher,Social Media,58,7
21,M,Hispanic or Latino,College,Others: recruiters ,61,8
35,M,Not Hispanic,Grad school or higher,Google/BING/or Other servers,64,7
25,M,Not Hispanic,High School,Social Media,54,7
21,F,Not Hispanic,College,Social Media,64,9
21,F,Not Hispanic,College,Social Media,63,7
